id,title,duration,releaseDate,artistIDs,albumID,genreIDs,awardIDs
song_0,Re-engineered analyzing benchmark Song 0,402,1983-10-03,"['artist_97', 'artist_91']",album_94,"['genre_3', 'genre_4']",[]
song_1,Extended user-facing challenge Song 1,405,1994-11-25,"['artist_19', 'artist_83']",album_93,['genre_4'],[]
song_2,Realigned dedicated circuit Song 2,419,2000-06-25,['artist_38'],,['genre_9'],[]
song_3,Versatile object-oriented open architecture Song 3,391,1999-06-09,"['artist_36', 'artist_97']",album_80,['genre_9'],[]
song_4,Object-based stable emulation Song 4,404,2022-08-26,['artist_78'],album_35,"['genre_8', 'genre_9']",[]
song_5,Quality-focused tertiary leverage Song 5,146,1999-02-04,"['artist_30', 'artist_48']",album_30,['genre_13'],[]
song_6,Front-line impactful monitoring Song 6,348,1985-06-04,['artist_69'],album_83,['genre_9'],['award_18']
song_7,Customer-focused global strategy Song 7,359,1999-12-08,['artist_35'],album_19,['genre_3'],[]
song_8,Public-key human-resource interface Song 8,246,2024-02-26,"['artist_75', 'artist_20']",,"['genre_6', 'genre_9']",[]
song_9,Sharable holistic Internet solution Song 9,387,2005-10-18,['artist_54'],album_0,"['genre_10', 'genre_8']",[]
song_10,Open-architected methodical extranet Song 10,307,2007-03-12,['artist_88'],album_48,['genre_0'],[]
song_11,Reactive attitude-oriented encryption Song 11,286,2009-04-14,"['artist_90', 'artist_75']",album_99,['genre_13'],[]
song_12,Configurable 24/7 concept Song 12,193,2021-09-15,"['artist_24', 'artist_69']",,['genre_2'],[]
song_13,Distributed zero administration pricing structure Song 13,224,1990-03-22,"['artist_55', 'artist_95']",album_30,['genre_2'],[]
song_14,Front-line 3rdgeneration contingency Song 14,389,1997-09-16,"['artist_60', 'artist_93']",album_29,['genre_12'],[]
song_15,Focused coherent benchmark Song 15,326,2002-03-08,"['artist_67', 'artist_50']",album_18,['genre_14'],[]
song_16,Open-source context-sensitive matrix Song 16,265,1996-12-27,['artist_96'],album_80,['genre_9'],[]
song_17,Realigned actuating projection Song 17,310,2008-02-24,['artist_38'],,"['genre_12', 'genre_2']",[]
song_18,Future-proofed cohesive forecast Song 18,368,2020-06-15,['artist_64'],album_16,['genre_13'],[]
song_19,Cross-group clear-thinking interface Song 19,188,1990-06-25,"['artist_46', 'artist_69']",,"['genre_5', 'genre_3']",[]
song_20,Multi-tiered 6thgeneration toolset Song 20,256,2012-09-07,['artist_49'],album_31,['genre_1'],[]
song_21,Re-contextualized zero administration capability Song 21,326,2006-05-24,['artist_96'],album_36,['genre_5'],[]
song_22,Cloned exuding open architecture Song 22,270,1983-03-29,['artist_54'],,['genre_13'],['award_10']
song_23,Compatible encompassing complexity Song 23,303,2017-04-02,"['artist_22', 'artist_15']",album_69,['genre_3'],[]
song_24,Balanced upward-trending middleware Song 24,234,1990-12-22,"['artist_38', 'artist_54']",album_76,"['genre_5', 'genre_0']",[]
song_25,Organic foreground moderator Song 25,297,2002-01-21,"['artist_31', 'artist_72']",,"['genre_4', 'genre_9']",[]
song_26,Business-focused 4thgeneration success Song 26,151,1992-04-01,"['artist_56', 'artist_19']",album_21,['genre_7'],[]
song_27,Programmable static complexity Song 27,358,2020-10-02,['artist_42'],,"['genre_4', 'genre_10']",[]
song_28,Secured methodical extranet Song 28,139,2013-04-17,['artist_60'],album_31,"['genre_0', 'genre_1']",[]
song_29,Centralized neutral archive Song 29,355,2014-06-16,['artist_67'],,['genre_3'],[]
song_30,Fundamental bifurcated benchmark Song 30,231,2010-02-07,"['artist_93', 'artist_35']",album_78,['genre_1'],[]
song_31,Ergonomic needs-based synergy Song 31,156,1990-10-14,"['artist_7', 'artist_42']",album_59,"['genre_3', 'genre_4']",[]
song_32,Re-engineered tangible algorithm Song 32,370,2014-09-29,['artist_62'],album_78,['genre_1'],[]
song_33,Multi-lateral 24/7 artificial intelligence Song 33,269,2008-11-30,"['artist_6', 'artist_68']",album_62,['genre_9'],[]
song_34,Optional grid-enabled projection Song 34,371,1992-05-10,['artist_29'],album_12,"['genre_0', 'genre_6']",['award_19']
song_35,Realigned discrete installation Song 35,281,1998-04-11,"['artist_30', 'artist_98']",album_7,['genre_0'],[]
song_36,Advanced demand-driven architecture Song 36,287,2021-08-25,"['artist_77', 'artist_4']",album_35,"['genre_8', 'genre_9']",[]
song_37,Vision-oriented asymmetric process improvement Song 37,125,1983-04-05,['artist_52'],,"['genre_0', 'genre_6']",[]
song_38,Fully-configurable dynamic collaboration Song 38,384,1985-04-25,['artist_29'],album_90,['genre_10'],[]
song_39,Future-proofed foreground instruction set Song 39,264,1986-12-10,['artist_66'],,['genre_4'],[]
song_40,Monitored exuding focus group Song 40,236,2005-04-06,['artist_39'],,['genre_0'],[]
song_41,Seamless interactive synergy Song 41,292,2023-11-03,['artist_41'],album_14,"['genre_4', 'genre_0']",[]
song_42,De-engineered full-range Graphical User Interface Song 42,184,2013-07-28,"['artist_2', 'artist_0']",album_42,['genre_10'],[]
song_43,Configurable dedicated firmware Song 43,323,2020-12-11,['artist_67'],album_1,"['genre_14', 'genre_11']",[]
song_44,Operative human-resource support Song 44,171,2011-05-21,"['artist_78', 'artist_64']",album_7,['genre_0'],[]
song_45,Organized client-server implementation Song 45,121,1997-08-15,['artist_55'],album_89,['genre_0'],[]
song_46,Distributed systematic capacity Song 46,192,2010-03-02,['artist_80'],album_47,['genre_6'],[]
song_47,De-engineered next generation encryption Song 47,324,1999-07-14,['artist_28'],album_7,['genre_0'],[]
song_48,Sharable intangible process improvement Song 48,310,2003-06-02,['artist_60'],album_9,['genre_13'],[]
