id,award_name,year,awarding_body
award_0,Grammy Award for Record of the Year,2002,British Phonographic Industry
award_1,Billboard Music Award,2012,MTV
award_2,Billboard Music Award,1997,Canadian Academy of Recording Arts and Sciences
award_3,Grammy Award for Song of the Year,1993,Billboard
award_4,Juno Award,2001,American Music Association
award_5,Grammy Award for Song of the Year,2002,Recording Academy
award_6,Brit Award,2012,American Music Association
award_7,Country Music Association Award,2018,Billboard
award_8,MTV Video Music Award,2004,Recording Academy
award_9,Billboard Music Award,2020,American Music Association
award_10,Brit Award,1994,Billboard
award_11,American Music Award,2007,British Phonographic Industry
award_12,MTV Video Music Award,2005,Billboard
award_13,Juno Award,1999,American Music Association
award_14,MTV Video Music Award,1992,American Music Association
award_15,Billboard Music Award,2015,Canadian Academy of Recording Arts and Sciences
award_16,American Music Award,2015,Recording Academy
award_17,Billboard Music Award,2010,MTV
award_18,Grammy Award for Song of the Year,2008,British Phonographic Industry
award_19,Brit Award,2008,MTV
award_20,Billboard Music Award,2013,American Music Association
award_21,American Music Award,1992,MTV
award_22,American Music Award,2006,MTV
award_23,Grammy Award for Record of the Year,1994,Billboard
award_24,Billboard Music Award,2009,Recording Academy
award_25,Brit Award,1998,MTV
award_26,American Music Award,2013,Canadian Academy of Recording Arts and Sciences
award_27,Grammy Award for Song of the Year,2004,American Music Association
award_28,Billboard Music Award,1992,British Phonographic Industry
award_29,Grammy Award for Song of the Year,2009,American Music Association
