entry_id,posting_date,policy_group_id,account_code,description,amount,dr_cr_flag,source_metric,export_status
8658371a-c523-44f5-bc76-29e61a829a23,2022-08-28,GRP49766,AC19349,Along expert myself.,28441.16,CR,Claim,Posted
368a420e-37ca-49d7-b830-95c812f80355,2022-03-20,GRP28363,AC30407,Financial cause blue.,6777.58,CR,CSM,Posted
20c2beae-335c-4df3-b6f1-df7a1b212e0f,2024-02-02,GRP28559,AC36194,Important front nothing no training.,-29467.79,DR,Claim,Posted
53d1ec4e-cef2-4b52-8c72-407a4253e1d8,2025-09-11,GRP15484,AC93898,Have begin fear model also.,-7406.5,DR,RA,Posted
3f507f9c-e39d-4242-976f-c9d920844575,2018-05-25,GRP25797,AC23687,Lawyer government write.,-4269.25,CR,Claim,Rejected
17357379-245a-4896-9a06-4930d0bce2e7,2023-01-24,GRP08246,AC93510,Of important office.,-34437.85,DR,CSM,Posted
cb2f4c60-dd1f-447d-b4dc-ee65b3b6d822,2022-01-26,GRP25537,AC57156,Family thing price give.,20433.8,CR,Claim,Rejected
2010283f-5804-4043-9a41-57f566f84c02,2025-04-13,GRP79287,AC41136,Eye citizen everyone as understand.,2636.2,CR,RA,Ready
ad728bea-045a-43d4-b6c6-5fbda6fc4066,2023-02-06,GRP80293,AC01259,Nor again take cultural.,22686.02,DR,Claim,Posted
e27bdbd1-b2e3-43a2-99ed-5d5563007d88,2021-01-02,GRP78592,AC10070,Agent newspaper table.,44726.23,DR,Claim,Ready
45c7ea5e-f529-4566-bafa-803a685648ac,2019-02-01,GRP69962,AC64815,Where tough join keep.,17811.04,CR,CSM,Ready
9fef4f49-4126-4f8c-92e1-f945404b230e,2018-02-01,GRP42574,AC90686,Member must television case.,48216.79,CR,CSM,Posted
a6199f8e-34d2-4302-b176-e4587fde5a04,2022-02-06,GRP43904,AC51824,Near open total.,-9155.14,CR,Claim,Rejected
a6355b8c-b09d-4a7c-9166-d439dde1af8d,2023-05-11,GRP68411,AC60621,Service apply measure matter.,-8601.64,DR,Claim,Ready
70cb0127-4ba6-4661-85da-40eeaa971d93,2023-12-26,GRP54135,AC56396,Conference western term.,44633.91,CR,CSM,Posted
f2309921-e5cd-4cbc-9732-f8959fb4ea3e,2024-11-27,GRP34477,AC68204,Idea her group.,-30647.84,DR,CSM,Rejected
f3df8d57-356a-450f-acdd-30be2592e941,2020-09-06,GRP05993,AC58956,Want red maybe.,9043.48,DR,Claim,Rejected
7e8b1c8b-3748-43b6-bf2b-ed753f3e7021,2018-05-26,GRP88326,AC10726,Ball argue political.,33492.93,CR,RA,Rejected
facf706a-5d7f-4a54-8539-5152bfae0efc,2022-01-24,GRP06156,AC44607,Within beat them.,36885.19,DR,RA,Rejected
