treaty_id,treaty_type,coverage_start_date,coverage_end_date,ceding_company,reinsurer_name,limit_amount,retention_amount,quota_share_percent,commission_percent,profit_commission_flag
TREATY758660,Surplus,2021-06-14,2025-08-10,"Cooper, Rice and Moore",Mccormick LLC,3726800.04,870268.72,56.9,7.47,False
TREATY144282,Surplus,2015-10-14,2020-02-13,Barker Group,Ford PLC,435849.12,512469.49,40.78,14.24,False
TREATY184786,Facultative,2020-07-22,2022-08-31,"Davies, Johnson and Williams","Wise, Lewis and Howe",2721464.83,308978.6,46.24,23.06,True
TREATY474722,Facultative,2016-04-04,2020-03-04,Page Group,"Baker, Sanchez and Donaldson",6753163.35,762222.79,67.14,5.65,True
TREATY774837,Facultative,2018-06-20,2020-09-12,"Greene, Ryan and Matthews",Mccarthy Group,8697477.6,200536.54,28.38,10.14,False
TREATY783346,Facultative,2020-01-08,2022-05-21,"Thomas, Golden and Willis","Alexander, Adams and Smith",5883603.88,714623.04,54.86,10.93,False
TREATY830313,Surplus,2021-09-03,2025-01-19,Moore PLC,Lopez and Sons,515261.67,909796.05,58.21,24.28,False
TREATY424295,Quota Share,2023-07-15,2024-12-12,Zuniga-Davis,Miller Ltd,4472164.66,205224.86,76.21,8.78,True
TREATY370037,XoL,2023-10-17,2027-11-30,"Coffey, Bailey and Lawson","Ayala, King and James",7037358.97,481322.35,63.02,19.53,True
TREATY290405,XoL,2016-03-17,2017-10-09,"Griffin, Barron and Kelly",Martinez-Rogers,1938799.74,686867.18,68.4,16.24,True
TREATY107667,Facultative,2019-02-08,2023-06-24,"Wood, Hall and Hurley",Young-Edwards,2560347.29,859946.74,82.46,16.97,False
TREATY685293,Quota Share,2023-05-12,2028-03-11,Quinn-Wilcox,Walters-Reed,5626731.3,530154.12,22.65,14.18,True
TREATY133628,Facultative,2020-05-06,2024-11-13,Jimenez-Hayes,Lopez-Hutchinson,8502631.45,994243.52,13.79,21.81,False
TREATY979978,XoL,2018-01-03,2020-01-28,Gonzales Inc,Flowers and Sons,9265298.16,661516.59,47.96,22.56,False
TREATY838324,Surplus,2015-02-06,2019-10-26,"Petersen, Newman and Travis",Barron-Mason,8067003.53,695758.72,69.12,21.08,False
TREATY078592,XoL,2017-02-15,2019-09-13,Harrell and Sons,Patterson-Stewart,8016795.86,959431.72,83.83,21.58,True
TREATY293216,Facultative,2018-04-20,2021-12-25,Mason and Sons,Oneal-Owens,5235797.11,132569.62,80.25,24.05,False
TREATY294484,Facultative,2015-04-28,2016-11-28,Baker Inc,"Patterson, Aguilar and Duncan",3541207.47,579431.59,21.49,16.06,True
TREATY258662,XoL,2017-12-27,2020-11-02,Davidson Group,Morse-Gibson,382006.49,574208.94,28.5,7.49,False
TREATY313296,Quota Share,2021-02-07,2024-09-09,"Garcia, Adams and Spears",Mathis-Jordan,3060090.93,745974.52,42.64,19.77,True
TREATY460558,Facultative,2017-01-26,2019-04-12,King and Sons,Marks-Salas,1949529.73,846059.31,47.91,22.42,True
TREATY654679,XoL,2020-12-30,2025-04-27,Ramos Ltd,"Roberts, Banks and Barr",7490804.71,388362.58,28.78,16.91,True
TREATY327745,Surplus,2019-07-15,2023-11-07,Pacheco Group,Vargas and Sons,6075715.43,505806.79,55.85,5.8,False
TREATY761798,Facultative,2017-06-14,2019-11-07,Serrano-Lucas,"Carter, Scott and Johnson",7855083.57,719275.15,46.6,18.42,True
TREATY216637,Quota Share,2019-09-23,2023-04-29,"Gregory, Byrd and Jones",Ayers Inc,6412247.39,208902.37,70.81,9.77,True
TREATY258518,Quota Share,2023-05-26,2027-08-24,"Archer, Stewart and Walker",Chavez-Gonzalez,3892281.98,123347.11,17.81,21.06,True
TREATY197825,Facultative,2016-05-20,2020-08-22,"Combs, Wells and Glass","Mejia, Taylor and Hughes",4777279.63,944769.12,17.04,17.39,False
TREATY687429,Surplus,2015-05-02,2019-02-13,Cruz PLC,Thomas PLC,1808635.71,425960.79,80.6,24.02,True
TREATY582487,XoL,2020-07-05,2024-01-30,"Lucero, Lopez and Ross","Pacheco, Garrett and Thompson",394551.27,762449.36,16.38,5.99,True
TREATY107597,Quota Share,2021-07-09,2023-10-10,"Rodriguez, Ellis and Bean","Marks, Alexander and Castillo",3081737.43,307364.85,68.04,13.39,False
TREATY589953,XoL,2021-11-07,2023-07-20,"Ferrell, Hahn and Powell","Contreras, Willis and Jacobson",9000016.84,745331.63,81.69,15.27,False
TREATY587754,Surplus,2023-11-11,2026-12-05,Peterson-Lopez,Zavala-Mueller,9470463.08,839039.53,14.05,21.39,True
TREATY536262,Surplus,2015-09-12,2019-10-19,Reese-Foster,Jones Group,4142538.91,930177.16,66.84,21.12,True
TREATY418943,Quota Share,2016-11-27,2018-07-08,"Dawson, Solis and Robinson","Johnson, Cooper and Foley",7764773.44,680408.15,72.19,16.88,False
TREATY091698,Surplus,2022-03-31,2027-01-30,Jones-Gill,"Ward, Forbes and Howe",4746131.74,324010.06,11.31,15.34,True
TREATY186457,XoL,2017-08-07,2022-06-27,"Medina, Gray and Myers","Bauer, Thompson and Allen",8061017.91,84481.1,61.06,24.35,False
