policy_id,policy_group_id,start_date,end_date,line_of_business,coverage_term_months,underwriting_year,currency,ifrs_model_type,status
POL31638670,GRP41201,2025-07-29,2026-12-21,Life,17,2025,GBP,PAA,Expired
POL08473011,GRP33997,2023-01-19,2025-09-05,Life,32,2023,USD,PAA,Cancelled
POL15879119,GRP57863,2021-08-17,2024-06-02,Motor,34,2021,USD,GMM,Active
POL46966564,GRP77175,2019-07-07,2022-03-23,Health,33,2019,USD,PAA,Active
POL03954261,GRP29882,2018-12-16,2021-09-01,Health,33,2018,GBP,GMM,Expired
POL38524374,GRP70568,2022-06-03,2023-12-25,Motor,19,2022,USD,GMM,Cancelled
POL22686572,GRP34663,2021-08-23,2022-05-20,Property,9,2021,GBP,PAA,Cancelled
POL58472595,GRP35201,2025-08-22,2026-02-18,Life,6,2025,GBP,PAA,Expired
POL28560380,GRP79328,2021-10-22,2023-10-12,Property,24,2021,EUR,GMM,Active
POL40355037,GRP95267,2025-05-24,2026-12-15,Health,19,2025,USD,GMM,Cancelled
POL06484722,GRP18340,2018-05-13,2020-02-02,Motor,21,2018,USD,GMM,Active
POL67637861,GRP21495,2024-06-27,2025-01-23,Life,7,2024,GBP,PAA,Active
POL26798496,GRP50916,2019-01-14,2020-06-07,Motor,17,2019,EUR,PAA,Active
POL82239273,GRP75629,2019-06-26,2022-04-11,Motor,34,2019,EUR,PAA,Expired
POL95431134,GRP49853,2022-07-07,2023-11-29,Motor,17,2022,GBP,PAA,Expired
POL18295163,GRP07185,2022-06-19,2023-01-15,Property,7,2022,EUR,PAA,Expired
POL31338705,GRP26302,2022-02-27,2024-02-17,Motor,24,2022,GBP,PAA,Expired
POL85692462,GRP19432,2024-11-02,2027-10-18,Health,36,2024,USD,PAA,Active
POL06517807,GRP73428,2024-04-12,2026-02-01,Motor,22,2024,USD,GMM,Active
POL46584760,GRP75035,2020-03-25,2021-06-18,Motor,15,2020,EUR,GMM,Expired
POL59628051,GRP29754,2022-11-12,2023-12-07,Property,13,2022,EUR,GMM,Active
POL07489074,GRP82806,2022-12-22,2024-09-12,Health,21,2022,EUR,GMM,Expired
POL66821435,GRP54590,2025-09-08,2027-03-02,Life,18,2025,GBP,GMM,Active
POL55179221,GRP84258,2023-04-09,2024-06-02,Motor,14,2023,USD,PAA,Cancelled
POL29490121,GRP27438,2022-07-31,2023-04-27,Property,9,2022,GBP,GMM,Active
POL58333087,GRP60713,2024-04-23,2025-08-16,Health,16,2024,GBP,PAA,Active
POL55585111,GRP00661,2021-10-27,2022-06-24,Life,8,2021,USD,GMM,Cancelled
POL01407641,GRP32009,2019-12-31,2021-12-20,Property,24,2019,EUR,GMM,Expired
POL16322046,GRP37043,2018-11-26,2019-05-25,Health,6,2018,GBP,GMM,Active
POL90377137,GRP89356,2020-06-29,2022-08-18,Health,26,2020,EUR,PAA,Cancelled
POL01981969,GRP57277,2025-08-08,2026-07-04,Health,11,2025,GBP,PAA,Active
POL88480521,GRP82536,2020-05-31,2022-10-18,Health,29,2020,GBP,GMM,Active
POL77261133,GRP71726,2022-06-15,2023-09-08,Motor,15,2022,GBP,PAA,Cancelled
POL50863228,GRP49184,2025-07-09,2027-09-27,Health,27,2025,EUR,GMM,Expired
POL14314384,GRP71571,2022-03-10,2022-11-05,Health,8,2022,EUR,PAA,Cancelled
POL45230935,GRP17451,2025-04-07,2027-08-25,Health,29,2025,GBP,PAA,Cancelled
POL46452336,GRP78889,2020-12-22,2023-03-12,Life,27,2020,GBP,PAA,Cancelled
POL85208281,GRP87063,2023-08-09,2024-04-05,Motor,8,2023,EUR,GMM,Cancelled
POL76195791,GRP73027,2021-04-19,2023-05-09,Property,25,2021,GBP,PAA,Active
POL70615259,GRP38244,2018-04-15,2019-05-10,Property,13,2018,EUR,GMM,Expired
POL70738606,GRP42809,2021-10-23,2024-07-09,Life,33,2021,EUR,PAA,Expired
POL80044732,GRP85690,2022-08-20,2024-06-10,Life,22,2022,GBP,GMM,Cancelled
POL46907404,GRP13791,2023-02-26,2025-03-17,Property,25,2023,GBP,GMM,Expired
POL43865114,GRP14568,2024-01-28,2026-08-15,Property,31,2024,EUR,PAA,Cancelled
POL15030622,GRP42311,2023-12-13,2025-09-03,Property,21,2023,GBP,GMM,Cancelled
POL72260807,GRP09969,2021-04-26,2022-12-17,Property,20,2021,GBP,PAA,Active
POL24968146,GRP25213,2024-06-29,2027-01-15,Motor,31,2024,EUR,GMM,Cancelled
POL70737595,GRP16516,2018-12-24,2020-05-17,Health,17,2018,EUR,PAA,Active
POL79931966,GRP96551,2020-08-23,2022-01-15,Property,17,2020,USD,PAA,Expired
POL78577141,GRP05185,2025-06-11,2027-11-28,Motor,30,2025,GBP,GMM,Expired
POL49142338,GRP05764,2025-12-05,2027-06-28,Health,19,2025,GBP,GMM,Active
POL57287763,GRP39995,2018-12-31,2021-10-16,Health,34,2018,EUR,GMM,Active
POL77446499,GRP12047,2018-01-21,2020-05-10,Life,28,2018,EUR,GMM,Cancelled
POL03629001,GRP19844,2021-03-23,2023-05-12,Motor,26,2021,USD,GMM,Cancelled
POL10609658,GRP72549,2023-10-28,2025-06-19,Motor,20,2023,GBP,GMM,Cancelled
POL18705707,GRP94528,2019-04-25,2019-10-22,Life,6,2019,EUR,GMM,Cancelled
POL81222341,GRP01720,2021-08-10,2024-02-26,Motor,31,2021,EUR,GMM,Expired
POL56472096,GRP64509,2019-11-09,2021-01-02,Life,14,2019,GBP,GMM,Cancelled
POL52522675,GRP64259,2021-11-20,2022-07-18,Health,8,2021,USD,GMM,Cancelled
POL16792788,GRP27698,2019-09-04,2021-11-22,Motor,27,2019,GBP,GMM,Active
POL02965257,GRP40595,2021-12-18,2024-10-03,Motor,34,2021,USD,PAA,Active
POL08705515,GRP77490,2022-02-11,2022-09-09,Property,7,2022,GBP,GMM,Expired
