curve_id,maturity_months,discount_rate,as_of_date
CURVE_0,6,0.07,2025-07-07
CURVE_0,12,0.04,2025-07-07
CURVE_0,18,0.03,2025-07-07
CURVE_0,24,0.05,2025-07-07
CURVE_0,30,0.05,2025-07-07
CURVE_0,36,0.06,2025-07-07
CURVE_0,42,0.04,2025-07-07
CURVE_0,48,0.07,2025-07-07
CURVE_0,54,0.05,2025-07-07
CURVE_0,60,0.02,2025-07-07
CURVE_0,66,0.06,2025-07-07
CURVE_0,72,0.01,2025-07-07
CURVE_0,78,0.01,2025-07-07
CURVE_0,84,0.05,2025-07-07
CURVE_0,90,0.06,2025-07-07
CURVE_0,96,0.07,2025-07-07
CURVE_0,102,0.06,2025-07-07
CURVE_0,108,0.05,2025-07-07
CURVE_0,114,0.02,2025-07-07
CURVE_0,120,0.02,2025-07-07
CURVE_1,6,0.06,2020-07-19
CURVE_1,12,0.06,2020-07-19
CURVE_1,18,0.05,2020-07-19
CURVE_1,24,0.02,2020-07-19
CURVE_1,30,0.03,2020-07-19
CURVE_1,36,0.06,2020-07-19
CURVE_1,42,0.04,2020-07-19
CURVE_1,48,0.05,2020-07-19
CURVE_1,54,0.02,2020-07-19
CURVE_1,60,0.05,2020-07-19
CURVE_1,66,0.02,2020-07-19
CURVE_1,72,0.02,2020-07-19
CURVE_1,78,0.06,2020-07-19
CURVE_1,84,0.01,2020-07-19
CURVE_1,90,0.02,2020-07-19
CURVE_1,96,0.01,2020-07-19
CURVE_1,102,0.05,2020-07-19
CURVE_1,108,0.07,2020-07-19
CURVE_1,114,0.05,2020-07-19
CURVE_1,120,0.01,2020-07-19
CURVE_2,6,0.02,2025-02-22
CURVE_2,12,0.02,2025-02-22
CURVE_2,18,0.03,2025-02-22
CURVE_2,24,0.06,2025-02-22
CURVE_2,30,0.03,2025-02-22
CURVE_2,36,0.04,2025-02-22
CURVE_2,42,0.03,2025-02-22
CURVE_2,48,0.01,2025-02-22
CURVE_2,54,0.03,2025-02-22
CURVE_2,60,0.02,2025-02-22
CURVE_2,66,0.03,2025-02-22
CURVE_2,72,0.02,2025-02-22
