transaction_id,policy_id,transaction_date,premium_amount,ceded_premium_amount,net_premium_amount,commission_paid
61b891dc-6585-4caa-b510-b5035e4f43c1,POL11274072,2019-03-11,5713.31,2773.67,2939.6400000000003,482.12
cf2510ae-28df-4c02-8325-ae6af9038090,POL93360780,2023-05-27,3664.78,827.85,2836.9300000000003,252.24
3d899aaa-217a-4533-ab88-98096dc4a8f2,POL21035551,2022-09-12,3541.35,1513.0,2028.35,290.13
72063a1f-81f9-48ca-849d-30d85c4c4130,POL33219205,2025-03-04,1606.49,404.75,1201.74,74.8
404b7bf5-8dd6-491a-af39-1af807b529f9,POL97725709,2025-07-01,6600.98,1236.93,5364.049999999999,69.83
3524c76d-fa26-434c-a03a-a35c89dbfa51,POL35884191,2022-09-11,4051.93,853.56,3198.37,369.12
a9de0933-2a44-4f77-b263-2a76a1fed4b0,POL05935918,2020-01-11,2702.13,1167.62,1534.5100000000002,182.0
d8bb349b-75ca-4afd-81fe-6534959ad885,POL20812597,2024-01-21,5862.76,803.58,5059.18,361.19
0d5280ac-0bdc-40b0-96bb-fad31874e6da,POL49286114,2021-06-11,2997.5,852.13,2145.37,288.54
42a5eca7-dd30-4e2e-973d-24a316ce71b3,POL71147925,2019-07-11,2646.92,912.22,1734.7,218.59
6bcfd6c4-0645-47b8-bdcb-ca18fb85ecc1,POL02959156,2023-08-05,8758.36,3420.48,5337.880000000001,243.57
afc053cf-78c8-4952-9ef7-d4168179db1c,POL26483184,2023-07-24,4992.03,2265.91,2726.12,77.29
400438bd-5570-49a6-806d-57bae7cde027,POL85167465,2020-03-07,4299.1,2094.74,2204.3600000000006,225.87
abe70a7f-494f-4719-b4e7-e91020f642e1,POL31551919,2022-05-02,3275.66,759.56,2516.1,324.91
57cb93d2-0824-4b69-970f-2f7af1fe9478,POL92781742,2021-01-22,5667.39,2690.98,2976.4100000000003,553.64
04c8493a-9edb-4dcf-b9df-2684894d5f48,POL77000709,2020-07-14,2432.46,896.95,1535.51,156.18
1aae9181-d740-41d4-b388-2716dc8a2aef,POL86328944,2019-01-01,6710.35,671.6,6038.75,434.4
264b3f23-d1b0-4a50-92b6-718a3d18618b,POL41812265,2021-11-27,2047.44,827.24,1220.2,53.93
32025e97-2ccd-46f9-88b2-f2fecb220e35,POL35374027,2021-11-24,1731.32,811.19,920.1299999999999,156.9
1e33d3ca-61fa-484e-ab28-b792dbb83c22,POL02144522,2022-02-06,2349.72,758.95,1590.7699999999998,194.89
14d5655d-4e30-4bdc-8081-39a4a48dad89,POL57762600,2020-10-12,5379.67,675.6,4704.07,458.82
b5c634d8-386b-4d82-969b-97b7f60e88ec,POL54869378,2023-04-27,4217.49,1301.97,2915.5199999999995,277.84
2fa5e6b5-fef3-404b-b9ba-342069defeec,POL33654680,2022-10-16,7053.65,803.04,6250.61,228.6
23af2d85-e6af-4be9-afee-3e7e4b7d49b7,POL18641015,2024-11-01,3328.04,889.15,2438.89,263.71
cf64895c-f122-4af4-8149-2ebe47c4f031,POL80760878,2024-09-22,1565.2,166.27,1398.93,114.46
b9c6fc03-df1b-4d89-8c22-e66a478b7afb,POL26052146,2025-06-25,2698.9,518.69,2180.21,39.24
1e0f3f50-c013-4f2c-b4bb-afa56fe780db,POL71282348,2023-05-01,1060.59,442.89,617.6999999999999,76.94
dece09de-f00b-4eac-aa8e-0c7a47c6a43a,POL29530183,2020-04-27,3866.62,1743.27,2123.35,222.99
b37897d2-c110-46d7-811b-452d80aedc1e,POL41485257,2023-12-22,9778.62,2248.3,7530.320000000001,966.21
6c3eed6c-b51e-4e51-a0d8-5a386328eaf2,POL87773050,2023-10-16,601.08,173.18,427.90000000000003,24.93
abae2e8d-76af-4147-b16b-e25c053a14b8,POL57922518,2023-06-23,2036.78,977.99,1058.79,110.69
40ccac7a-f348-4603-bcd4-b9dd2ec60d10,POL37152144,2022-11-17,5847.06,604.91,5242.150000000001,576.63
