policy_group_id,period,csm_opening,csm_accretion,csm_release,csm_closing,risk_adjustment,loss_component,coverage_units,service_expense,insurance_revenue,reinsurance_asset_change
GRP35141,2025-05-23,440057.12,829.65,9382.24,431504.53,1666.06,1162.74,95,3407.67,14074.49,1839.5
GRP83519,2025-02-06,240384.48,3650.87,969.44,243065.91,6219.27,1537.42,61,4180.64,22595.07,2313.98
GRP42194,2019-07-16,174192.75,3281.04,7805.43,169668.36000000002,5075.85,642.75,1,3775.19,23800.19,3256.75
GRP46012,2018-04-30,115763.19,4055.94,2635.28,117183.85,5793.92,677.27,91,2363.02,9383.49,-2858.52
GRP47575,2023-02-22,31131.4,2478.68,8658.48,24951.600000000002,2878.74,689.57,49,4772.49,26348.39,2302.68
GRP37805,2025-04-24,328242.57,4271.18,5302.59,327211.16,1674.77,1258.43,70,1561.4,20282.96,3524.37
GRP53519,2022-08-16,198480.47,1032.06,9503.77,190008.76,1718.61,1923.13,46,7116.46,27714.46,1795.89
GRP11971,2024-05-30,258196.7,2123.73,6639.17,253681.26,6508.33,736.8,93,4839.82,9988.98,-1144.21
GRP79713,2022-03-20,28588.69,3351.04,8846.81,23092.92,4863.99,1557.39,66,8735.3,15418.96,2166.1
GRP40371,2019-02-22,67129.5,1550.28,6485.69,62194.09,9799.36,640.65,74,2211.67,6407.23,-2610.67
GRP30635,2019-04-26,220713.96,3183.76,2894.74,221002.98,2516.19,1754.0,45,8791.75,6611.94,-19.09
GRP20251,2025-03-25,440331.54,3272.81,4768.6,438835.75,3069.73,947.26,18,2457.24,28919.8,2206.09
GRP01916,2023-01-07,196331.77,707.17,4985.04,192053.9,7260.57,931.59,63,9435.74,16795.86,-4105.76
GRP95709,2023-01-24,385312.06,1705.71,8994.39,378023.38,9991.65,1109.97,57,4348.19,25022.03,-4891.12
GRP30737,2021-05-21,226484.06,4340.72,2814.95,228009.83,2548.25,1194.22,27,6863.16,21135.8,752.9
GRP17925,2021-10-03,151831.09,2417.33,9152.53,145095.88999999998,1645.91,1146.4,58,5606.26,14006.78,-2423.78
GRP93930,2023-01-15,403559.08,4430.3,8170.19,399819.19,5424.63,1404.66,98,7923.76,13411.74,3118.91
GRP79323,2022-09-20,205424.41,650.34,6754.37,199320.38,9515.81,1658.47,10,3419.56,6437.07,4773.8
GRP57110,2022-08-04,218298.05,3500.13,879.3,220918.88,8474.38,283.72,33,7479.4,24829.65,-4806.55
GRP90813,2024-02-03,492896.33,4868.6,1717.42,496047.51,8630.4,109.53,33,7562.19,16717.64,4182.31
GRP28671,2019-03-12,488968.42,4785.17,2350.25,491403.33999999997,7374.76,1486.54,76,3980.96,25873.36,-2152.69
GRP17211,2022-09-07,183085.29,737.44,5501.22,178321.51,9889.21,94.38,95,9864.73,6356.76,-1311.03
GRP53543,2018-10-30,172465.82,2432.69,950.73,173947.78,7402.54,1510.62,10,4552.25,18222.07,-4819.66
GRP13732,2023-07-01,490864.18,2733.93,2407.55,491190.56,4325.75,559.28,84,5650.03,19849.67,1309.77
GRP65159,2024-04-20,175096.46,1652.88,3467.39,173281.94999999998,3861.03,1059.68,11,4469.15,14471.62,3848.89
GRP46562,2019-05-15,29963.73,4698.05,9708.48,24953.3,3982.48,501.12,33,4809.25,22249.67,-1776.01
GRP91259,2023-05-27,126317.2,3972.18,6075.42,124213.95999999999,7175.18,907.04,30,5512.8,28933.29,-190.57
GRP89581,2020-07-26,67065.11,2172.15,5817.68,63419.579999999994,1337.48,657.19,15,2565.57,7585.22,-2308.96
GRP70466,2022-10-07,486423.52,4665.81,1020.81,490068.52,1202.25,17.66,18,4100.31,24290.83,-3203.47
GRP01104,2018-12-13,475704.13,963.82,9034.82,467633.13,9292.13,1300.09,53,3802.88,9911.12,-4237.37
GRP98765,2021-01-23,343266.38,3212.03,3353.03,343125.38,9742.04,680.23,89,8121.7,19153.9,-3612.43
GRP02718,2023-08-07,172971.59,4296.23,4483.26,172784.56,6017.86,1420.47,95,5796.67,14043.52,-3630.75
GRP27893,2018-02-15,166560.02,766.48,9345.72,157980.78,6617.87,1967.94,44,4075.29,14628.99,4521.97
GRP68353,2024-04-02,189162.91,845.74,9414.57,180594.08,6099.67,626.06,93,4229.68,13952.47,2399.09
GRP98458,2024-05-18,318963.39,4860.86,4202.88,319621.37,1276.76,433.69,87,1903.13,21852.54,1002.51
GRP48383,2018-01-21,400539.37,3775.2,3223.8,401090.77,3408.35,1475.3,72,6171.61,9259.82,753.6
GRP91343,2019-04-06,134947.28,3467.52,7301.57,131113.22999999998,5708.66,1303.31,76,7938.79,14755.66,1160.65
GRP26825,2025-05-26,273253.59,4053.64,5045.82,272261.41000000003,5973.01,1946.02,81,7876.43,5286.75,-3244.56
GRP21437,2023-12-24,91537.23,2688.38,4788.0,89437.61,4321.19,274.39,56,9705.85,28541.92,-3327.29
GRP13272,2022-09-18,252139.71,2198.14,6596.75,247741.1,6659.59,1600.69,84,3615.69,18903.01,615.55
