scenario_id,description,premium_growth_rate,claim_frequency_shift,catastrophe_factor,discount_curve_override,lapse_rate,run_date
SCEN_3ac1de,Fish range unit.,0.05,0.19,1.22,CURVE_5,0.02,2024-08-25
SCEN_40485f,Level pick teach.,0.03,0.18,1.57,CURVE_3,0.08,2020-05-11
SCEN_e767de,Policy alone lose again area kitchen.,0.02,0.2,2.04,CURVE_2,0.09,2019-10-30
SCEN_714850,Book cold alone young seem partner.,0.03,0.13,1.83,CURVE_1,0.07,2019-11-08
SCEN_9fca90,Sport available because perhaps north.,0.05,0.12,1.96,CURVE_2,0.02,2025-01-27
SCEN_053701,Sea together cost somebody.,0.08,0.07,2.27,CURVE_2,0.1,2021-02-01
SCEN_99d20e,Tree three late threat because.,0.11,0.16,1.28,CURVE_3,0.02,2024-05-11
SCEN_ca4ad6,Thank amount also explain.,0.02,0.08,0.93,CURVE_4,0.03,2021-06-17
SCEN_679858,Fund school age staff plan.,0.11,0.04,1.42,CURVE_2,0.02,2020-12-19
SCEN_6f92e8,Trip he beautiful.,0.08,-0.03,1.85,CURVE_2,0.02,2018-12-23
SCEN_089f88,Economy resource a fear investment.,0.02,0.1,1.77,CURVE_5,0.04,2024-02-14
SCEN_45936c,System individual fly approach think happen.,0.04,0.03,2.3,CURVE_3,0.04,2022-11-04
SCEN_4ef4b0,Only again car why enter animal.,0.13,0.07,1.73,CURVE_5,0.05,2022-11-14
SCEN_eabca2,Gas travel green feeling though.,0.07,-0.02,1.34,CURVE_5,0.01,2018-12-20
SCEN_08cab1,Age sort rich special friend.,0.09,0.07,1.23,CURVE_1,0.02,2021-09-08
SCEN_aa597f,Answer agency character.,0.03,0.19,1.65,CURVE_2,0.04,2021-11-15
SCEN_70d10f,Choose consider attack film reach family.,0.03,0.03,1.6,CURVE_4,0.05,2019-01-17
SCEN_d6de40,Her budget room.,0.06,0.14,1.5,CURVE_4,0.07,2024-02-08
SCEN_8df7dc,Turn there surface prove.,0.05,0.02,2.36,CURVE_5,0.08,2022-11-12
SCEN_db8938,Apply enjoy reduce public similar factor.,0.05,-0.02,1.59,CURVE_1,0.05,2025-11-06
SCEN_988568,Within again nor offer they.,0.1,0.04,2.03,CURVE_4,0.01,2018-09-21
SCEN_49a3cb,Large father however foreign risk pass.,0.08,0.13,1.77,CURVE_5,0.06,2024-03-24
SCEN_17fbe0,Relate four senior.,0.05,0.01,2.12,CURVE_4,0.09,2022-06-21
SCEN_6cb5f3,Production approach staff seven.,0.01,-0.01,1.29,CURVE_1,0.07,2024-09-29
SCEN_444ab2,Go cell bill building.,0.04,-0.03,2.07,CURVE_2,0.05,2020-02-19
SCEN_af60f2,Art former left.,0.06,0.04,2.16,CURVE_1,0.01,2025-10-10
SCEN_fa341e,Pick voice site reason stop pretty.,0.09,0.1,1.12,CURVE_1,0.05,2024-08-03
