lob,confidence_level,std_dev,risk_adjustment_method,cost_of_capital_rate
Property,0.85,3380.47,VaR,0.06
Health,0.9,2640.03,CoC,0.03
Property,0.9,1551.81,VaR,0.06
Property,0.85,7107.24,CoC,0.05
Health,0.75,8332.75,CoC,0.05
Property,0.75,8703.74,VaR,0.03
Life,0.85,5407.1,VaR,0.06
Motor,0.9,1435.84,CoC,0.03
Health,0.85,2876.11,CoC,0.08
Property,0.75,1122.86,CoC,0.07
Life,0.75,3976.7,CoC,0.04
Health,0.9,2844.52,CoC,0.02
Property,0.85,9423.95,CoC,0.06
Life,0.75,4617.17,CoC,0.06
Property,0.9,3721.14,VaR,0.07
Life,0.9,6988.72,VaR,0.07
Health,0.75,6310.15,VaR,0.06
Motor,0.75,4069.25,VaR,0.05
Motor,0.85,5193.45,CoC,0.05
Property,0.9,1328.26,VaR,0.06
Property,0.85,9292.58,CoC,0.05
Motor,0.85,6981.67,CoC,0.06
Motor,0.9,6191.18,CoC,0.03
Property,0.75,8067.18,VaR,0.05
Life,0.9,4183.06,CoC,0.03
Motor,0.9,9077.88,CoC,0.02
Health,0.85,4011.62,VaR,0.06
Motor,0.75,4202.85,CoC,0.02
Motor,0.75,9950.26,CoC,0.08
Health,0.85,1513.17,VaR,0.08
Life,0.9,8234.52,VaR,0.03
Life,0.75,9301.25,VaR,0.04
Health,0.75,3733.51,VaR,0.04
Health,0.9,9189.46,CoC,0.04
Life,0.85,6298.03,VaR,0.05
Life,0.75,3024.71,VaR,0.07
Life,0.85,2605.53,CoC,0.08
Life,0.9,4432.73,VaR,0.06
Property,0.75,5146.15,VaR,0.07
Property,0.9,9403.61,VaR,0.04
Health,0.9,2432.97,CoC,0.04
Life,0.85,1206.51,VaR,0.06
Life,0.85,9744.03,VaR,0.07
Health,0.85,9057.98,CoC,0.06
Health,0.85,1528.44,VaR,0.03
Life,0.75,1726.6,VaR,0.05
Health,0.9,1820.97,VaR,0.05
Motor,0.9,5870.69,VaR,0.03
Motor,0.75,1582.93,CoC,0.06
Life,0.9,4168.86,CoC,0.04
Property,0.75,5398.53,VaR,0.04
Health,0.85,4456.15,VaR,0.06
Motor,0.75,3976.07,VaR,0.06
Property,0.9,4177.5,VaR,0.07
Property,0.75,5119.88,CoC,0.03
Health,0.75,9241.31,CoC,0.03
Life,0.9,2856.27,CoC,0.02
Property,0.75,4033.79,VaR,0.03
Health,0.85,8856.7,CoC,0.07
Life,0.9,5052.37,CoC,0.05
Motor,0.9,5032.51,CoC,0.08
Motor,0.9,2959.84,VaR,0.07
Health,0.85,1983.34,CoC,0.06
Motor,0.75,7867.13,CoC,0.04
Health,0.9,5672.74,CoC,0.03
Motor,0.85,6816.86,VaR,0.04
Health,0.75,4568.2,VaR,0.06
Motor,0.9,5385.15,CoC,0.04
Property,0.9,4845.19,VaR,0.03
Property,0.85,1759.56,CoC,0.06
Property,0.9,5178.05,CoC,0.03
Motor,0.85,5974.86,CoC,0.05
Property,0.9,3240.35,CoC,0.07
Property,0.85,4444.95,CoC,0.06
Life,0.9,7180.81,VaR,0.08
Motor,0.85,1666.8,CoC,0.06
Motor,0.85,5560.93,CoC,0.04
Health,0.75,4163.86,CoC,0.05
Health,0.85,4471.94,CoC,0.05
Life,0.9,1002.75,CoC,0.06
Health,0.75,1473.93,CoC,0.06
Life,0.9,3327.84,VaR,0.06
Life,0.85,5367.76,CoC,0.04
Motor,0.75,7285.96,CoC,0.08
Life,0.9,1604.79,VaR,0.04
Property,0.75,2492.03,VaR,0.06
Health,0.9,3292.3,VaR,0.06
Property,0.75,9527.49,VaR,0.08
Health,0.9,8043.71,CoC,0.04
Life,0.9,7858.33,CoC,0.08
